number,city,gu,dong,name,addr,nlink,nreview,nscore,dlink,dreview,dscore
1,서울,서초구,서초동,스타벅스 강남교보타워R점,서울 서초구 강남대로 465,"https://map.naver.com/v5/entry/place/1080585723?placePath=%2Freview%2Fvisitor&c=14139770.5597330,4509646.1267116,15,0,0,0,dh",376,4.44,https://place.map.kakao.com/1052083352,12,2.3
2,서울,서초구,서초동,스타벅스 강남에비뉴점,서울 서초구 서초대로77길 62,"https://map.naver.com/v5/entry/place/31875185?placePath=%2Freview%2Fvisitor&c=14139751.4504760,4509493.2526551,15,0,0,0,dh",263,4.47,https://place.map.kakao.com/19469881,15,4.5
3,서울,서초구,서초동,스타벅스 강남2점,서울 서초구 서초대로77길 27,"https://map.naver.com/v5/entry/place/11555415?placePath=%2Freview%2Fvisitor&c=14139928.2111039,4509127.7881136,15,0,0,0,dh",499,4.38,https://place.map.kakao.com/11306012,23,2.7
4,서울,서초구,서초동,스타벅스 몬테소리점,서울 서초구 강남대로 399,"https://map.naver.com/v5/entry/place/12950401?placePath=%2Freview%2Fvisitor&c=14140081.0851605,4508872.2018002,15,0,0,0,dh",394,4.46,https://place.map.kakao.com/7961654,17,3.6
5,서울,서초구,서초동,스타벅스 강남GT타워점,서울 서초구 서초대로 411,"https://map.naver.com/v5/entry/place/31318067?placePath=%2Freview%2Fvisitor&c=14139966.4296180,4508841.1492575,15,0,0,0,dh",234,4.44,https://place.map.kakao.com/17884758,12,2.8
6,서울,서초구,서초동,스타벅스 강남삼성타운점,서울 서초구 서초대로78길 24,"https://map.naver.com/v5/entry/place/12947575?placePath=%2Freview%2Fvisitor&c=14140309.9779649,4518037.6460603,15,0,0,0,dh",391,4.48,https://place.map.kakao.com/7977521,34,4
7,서울,서초구,서초동,스타벅스 서초파라곤점,서울 서초구 서초대로74길 29,"https://map.naver.com/v5/entry/place/34203750?placePath=%2Freview%2Fvisitor&c=14140143.1902459,4508404.0250020,15,0,0,0,dh",209,4.45,https://place.map.kakao.com/23326017,19,4.1
8,서울,강남구,역삼동,스타벅스 강남대로점,서울 강남구 강남대로 456,"https://map.naver.com/v5/entry/place/33021702?placePath=%2Freview%2Fvisitor&c=14139935.3770753,4509555.3577405,15,0,0,0,dh",330,4.47,https://place.map.kakao.com/20494135,13,3.2
9,서울,강남구,역삼동,스타벅스 강남오거리점,서울 강남구 봉은사로2길 39,"https://map.naver.com/v5/entry/place/1115399131?placePath=%2Freview%2Fvisitor&c=14140309.9779649,4518037.6460603,15,0,0,0,dh",397,4.47,https://place.map.kakao.com/113668696,16,3.6
10,서울,강남구,역삼동,스타벅스 강남R점,서울 강남구 강남대로 390,"https://map.naver.com/v5/entry/place/1086067689?placePath=%2Freview%2Fvisitor&c=14140255.4571312,4508793.3761148,15,0,0,0,dh",693,4.47,https://place.map.kakao.com/35026031,40,3.9
